TS,Q_Algemesi_Caudal_Deposito_La_Ribera,AlgemesiValPresionRed1,AlgemesiValCaudalSuma,AlgemesiValCaudalSuma_m3h_Formula,Algemesí_caudal_entrada_deposito_suma_ERCRibera_Pozos_m3h_Formula,Algemesi_Nivel_Deposito_La_Ribera,00_F_ALGEMESI_DE_PUEBLO_NIVEL,00_F_ALGEMESI_DE_PUEBLO_PORCENTAJE,V_DISPONIBLE_DEP_ALGEMESI_m3_Formula,HORAS_AUTONOMIA_DEPOSITO_m3_Formula,AlgemesiValCloro,00_F_ALGEMESI_DE_PUEBLO_CLORO,AlgemesiValNivelPozo1,AlgemesiValNivel_ZPozo1,00_F_ALGEMESI_SD_1_NIVEL,Q_AlgemesiValCaudalPozo1,00_F_ALGEMESI_SD_1_CAUDAL,AlgemesiValIntensidadPozo1,AlgemesiValVelocidadPozo1,Algemesi_Val_Velocidad_Pozo_1_Hz_Formula,AlgemesiStPozo1Marcha,Algemesi_St_Pozo1_Marcha_Formula,AlgemesiValNivelPozo2,00_F_ALGEMESI_SD_2_NIVEL,Agua_sobre_bomba_AlgemesiValNivel_ZPozo2_m_Formula,Q_AlgemesiValCaudalPozo2,00_F_ALGEMESI_SD_2_CAUDAL,AlgemesiValIntensidadPozo2,AlgemesiValVelocidadPozo2,AlgemesiValVelocidadPozo2_hz_formula,AlgemesiStPozo2Marcha,Algemesi_ST_Pozo2_Marcha_Formula,00_F_ALGEMESI_SD_2_PRESION,RebombeoStBomba1Marcha,Rebombeo_ST_Bomba1_Marcha_Formula,RebombeoValIntensidadVariador1,RebombeoValVelocidadVariador1,Rebombeo_Val_Velocidad_Variador1_Hz_Formula,RebombeoStBomba2Marcha,Rebombeo_St_Bomba2_Marcha_Formula,ALGEMESI_ITEMS_POZO_ARE_Tension_L1_L2,ALGEMESI_ITEMS_POZO_ARE_Tension_L2_L3,ALGEMESI_ITEMS_POZO_ARE_Tension_L3_L1,ALGEMESI_ITEMS_POZO_ARE_Intensidad_L1,ALGEMESI_ITEMS_POZO_ARE_Intensidad_L2,ALGEMESI_ITEMS_POZO_ARE_Intensidad_L3,ALGEMESI_ITEMS_POZO_ARE_Potencia_activa_total,00_F_ALGEMESI_SD_2_POTENCIA,ALGEMESI_ITEMS_POZO_ARE_Frecuencia,ALGEMESI_ITEMS_POZO_ARE_Factor_de_potencia_total,RebombeoValIntensidadVariador2,RebombeoValVelocidadVariador2,RebombeoValVelocidadVariador2_Hz_formula,RebombeoStBomba3Marcha,Rebombeo_St_Bomba3_Marcha_Formula,RebombeoValIntensidadArrancador4,RebombeoValIntensidadArrancador3,RebombeoStBomba4Marcha,Rebombeo_St_Bomba4_Marcha_Formula,P_RebombeoValPresionRedTrabajo,00_F_ALGEMESI_SB_PUEBLO_PRESION,Q_RebombeoValCaudalBombeoRed,00_F_ALGEMESI_SB_PUEBLO_CAUDAL,Q_RebombeoValCaudalAguaTratada,RebomeboValCaudalAguaTratada_m3h_Formula,AlgemesiValTensionL1_L2,AlgemesiValTensionL2_L3,AlgemesiValTensionL3_L1,AlgemesiValCorrienteL1,AlgemesiValCorrienteL2,AlgemesiValCorrienteL3,AlgemesiValPotenciaActivaTotal,AlgemesiValFactorPotenciaTotal,RebombeoTotal_horasfunc_bomba2,RebombeoTotal_horasfunc_bomba1,Algemesi_horas_Pozo1_Formula,Algemesi_horas_Pozo2_Formula,AlgemesiTotalHorasMarchaPozo2,AlgemesiTotalHorasMarchaPozo1,ALGEMESI_ITEMS_ALGEMESI_ANALIZADOR_RED_GRUPO_PRESION_Factor_de_potencia_total,ALGEMESI_ITEMS_ALGEMESI_ANALIZADOR_RED_GRUPO_PRESION_Factor_de_potencia_total_porcentaje_Formula,ALGEMESI_ITEMS_ALGEMESI_ANALIZADOR_RED_GRUPO_PRESION_Frecuencia,ALGEMESI_ITEMS_ALGEMESI_ANALIZADOR_RED_GRUPO_PRESION_Intensidad_L1,ALGEMESI_ITEMS_ALGEMESI_ANALIZADOR_RED_GRUPO_PRESION_Intensidad_L2,ALGEMESI_ITEMS_ALGEMESI_ANALIZADOR_RED_GRUPO_PRESION_Intensidad_L3,ALGEMESI_ITEMS_ALGEMESI_ANALIZADOR_RED_GRUPO_PRESION_Potencia_Activa_L1,ALGEMESI_ITEMS_ALGEMESI_ANALIZADOR_RED_GRUPO_PRESION_Potencia_Activa_L1_kW_Formula,ALGEMESI_ITEMS_ALGEMESI_ANALIZADOR_RED_GRUPO_PRESION_Potencia_Activa_L2,ALGEMESI_ITEMS_ALGEMESI_ANALIZADOR_RED_GRUPO_PRESION_Potencia_Activa_L2_kW_Formula,ALGEMESI_ITEMS_ALGEMESI_ANALIZADOR_RED_GRUPO_PRESION_Potencia_Activa_L3,ALGEMESI_ITEMS_ALGEMESI_ANALIZADOR_RED_GRUPO_PRESION_Potencia_Activa_L3_kW_Formula,ALGEMESI_ITEMS_ALGEMESI_ANALIZADOR_RED_GRUPO_PRESION_Potencia_activa_total,00_F_ALGEMESI_SB_PUEBLO_POTENCIA,ALGEMESI_ITEMS_ALGEMESI_ANALIZADOR_RED_GRUPO_PRESION_Potencia_reactiva_total,ALGEMESI_ITEMS_ALGEMESI_ANALIZADOR_RED_GRUPO_PRESION_Potencia_reactiva_total_kVAr_Formula,ALGEMESI_ITEMS_ALGEMESI_ANALIZADOR_RED_GRUPO_PRESION_Tension_L1_L2,ALGEMESI_ITEMS_ALGEMESI_ANALIZADOR_RED_GRUPO_PRESION_Tension_L2_L3,ALGEMESI_ITEMS_ALGEMESI_ANALIZADOR_RED_GRUPO_PRESION_Tension_L3_L1,ALGEMESI_ITEMS_ALGEMESI_ANALIZADOR_RED_GRUPO_PRESION_Totalizador_Energía_Activa,ALGEMESI_ITEMS_Comunicacion_OPC_PLC_ALGEMESI_POZO,Driver_OPCServerConnectionStatus,ALGEMESI_ITEMS_ALGEMESI_ANALOGICAS_CAUDAL_SALIDA_CONTADOR_BYPASS_SAR,ALGEMESI_ITEMS_ALGEMESI_ANALOGICAS_CAUDAL_SALIDA_CONTADOR_BYPASS_SAR_m3h_Formula,ALGEMESI_ITEMS_ALGEMESI_ANALOGICAS_PRESION_IMPULSION,RebombeoValPosicionValvulaRibera,Rebombeo_Val_Caudal_Agua_Ribera_m3h_Formula
2019-05-29 00:00:00,1819,-0.100000001,3373,202.38,311.52,169.3333333,1.693333333,38.13813814,1353.24,4.5108,0.913333337,0.913333337,26.29999924,-26.29999924,6.600000763,0,0,-128,-119,-59.5,0,0,1.700000048,17.77999995,-1.700000048,3373,202.38,49.66666667,92,46,-1,1,6.099999905,-1,1,25.66666667,97.66666667,48.83333333,0,0,404.1610311,405.5572713,405.6701558,26.54001172,34.62474569,36.62937037,15456.48535,15.45648535,49.96045812,0.675626357,0,0,0,0,0,-107,-107,0,0,31.10000038,31.10000038,2288,137.28,3396.333333,203.78,407.5,408.0666606,408.2333374,64.76666641,68.29999797,70.30000051,38.83333333,0.810000002,0,-3,0,0.016666667,24816.5332,9315.299805,0.817890942,81.78909421,49.95669556,21.29778735,22.04302533,23.29493968,3998.237467,3.998237467,4232.653158,4.232653158,4542.382568,4.542382568,12774.31055,12.77431055,3078.248372,3.078248372,404.2817485,405.6257629,405.5755005,233.7129618,-1,1,52,3.12,32.17472076,26,109.14
2019-05-29 00:15:00,1852,-0.100000001,3382,202.92,314.04,173,1.73,38.96396396,1394.82,4.6494,0.916666667,0.916666667,26.29999924,-26.29999924,6.600000763,0,0,-128,-119,-59.5,0,0,1.700000048,17.77999995,-1.700000048,3382,202.92,49.66666667,92,46,-1,1,6.099999905,-1,1,25,97.66666667,48.83333333,0,0,403.0107218,404.6212463,404.6570028,26.36565018,34.72598521,36.64269892,15474.87695,15.47487695,50.01581955,0.678570191,0,0,0,0,0,-107,-107,0,0,30.96666654,30.96666654,2199,131.94,3413.333333,204.8,405.2666626,405.9666748,406.1000061,63.86666616,67.89999898,69.60000102,38.09999975,0.810000002,0,-3,0,0.016666667,24816.76628,9315.299805,0.819072763,81.90727631,50.01672999,21.06539218,21.837478,23.55353165,3961.761637,3.961761637,4193.650879,4.193650879,4542.797363,4.542797363,12710.02767,12.71002767,2939.747396,2.939747396,403.15212,404.6179606,404.5449524,233.0403748,-1,1,56,3.36,32.57619603,26,111.12
2019-05-29 00:30:00,1967.333333,-0.100000001,3386.666667,203.2,321.24,177.3333333,1.773333333,39.93993994,1443.96,4.8132,0.916666687,0.916666687,26.29999924,-26.29999924,6.600000763,0,0,-128,-119,-59.5,0,0,1.700000048,17.77999995,-1.700000048,3386.666667,203.2,49.66666667,92,46,-1,1,6.233333429,-1,1,22,91,45.5,0,0,403.0041911,404.65979,404.7762044,26.46712812,34.5411555,36.86194102,15468.98014,15.46898014,50.01651764,0.677282631,0,0,0,0,0,-107,-107,0,0,27,27,1936.666667,116.2,3366.333333,201.98,405.6666565,406.1999919,406.4666748,56.76666768,60.80000051,60.9666659,32.90000025,0.790000021,0,-3,0,0.016666667,24816.90039,9315.299805,0.772835056,77.2835056,50.01726659,16.1125838,17.32120005,18.07322756,2814.213867,2.814213867,3117.03776,3.11703776,3368.916016,3.368916016,9276.326497,9.276326497,2247.187337,2.247187337,403.2485148,404.7359823,404.7471212,233.1895396,-1,1,60,3.6,30.14081764,26,118.04
2019-05-29 00:45:00,2037.333333,-0.100000001,3366,201.96,324.2,182,1.82,40.99099099,1496.88,4.9896,0.913333356,0.913333356,26.29999924,-26.29999924,6.600000763,0,0,-128,-119,-59.5,0,0,1.700000048,17.77999995,-1.700000048,3366,201.96,50,92,46,-1,1,6.099999905,-1,1,22,91,45.5,0,0,403.4466553,405.1559448,405.2622579,26.37902069,34.51900355,36.70656967,15451.15853,15.45115853,50.01535161,0.677551727,0,0,0,0,0,-107,-107,0,0,27.09999975,27.09999975,1738.333333,104.3,3401.333333,204.08,406.5999959,407.2333374,407.5,56.40000025,60.5333341,62.20000076,33.26666768,0.786666671,0,-3,0,0.016666667,24817.26628,9315.299805,0.756737451,75.67374508,50.01583862,15.3246692,16.73849678,16.38646634,2639.000814,2.639000814,2983.827311,2.983827311,2948.346842,2.948346842,8580.314453,8.580314453,2033.464884,2.033464884,403.8386027,405.3143107,405.2826335,233.4714762,-1,1,66,3.96,30.81235504,26,122.24
2019-05-29 01:00:00,2028.666667,-0.100000001,3370,202.2,323.92,186.6666667,1.866666667,42.04204204,1549.8,5.166,0.910000026,0.910000026,26.5,-26.5,6.4,0,0,-128,-119,-59.5,0,0,1.700000048,17.77999995,-1.700000048,3370,202.2,50,92,46,-1,1,6.166666667,-1,1,22.33333333,91,45.5,0,0,403.7484131,405.2616069,405.4841309,26.28808912,34.46466319,36.6513087,15420.32813,15.42032813,49.98412704,0.677251617,0,0,0,0,0,-107,-107,0,0,27.13333321,27.13333321,1714.666667,102.88,3389,203.34,406.1333313,406.799998,407.0333455,55.69999949,60.23333359,60.06666565,32.46666718,0.786666671,0,-3,0,0.016666667,24817.40039,9315.299805,0.768972754,76.89727545,49.98489889,15.56580226,16.77977753,17.36294301,2702.872314,2.702872314,3018.376139,3.018376139,3221.938151,3.221938151,8923.644857,8.923644857,2156.451457,2.156451457,404.0806376,405.6411947,405.4985962,233.6037903,-1,1,66,3.96,30.59895833,26,121.72
2019-05-29 01:15:00,1916,-0.100000001,3360.333333,201.62,316.58,191.3333333,1.913333333,43.09309309,1602.72,5.3424,0.896666646,0.896666646,26.39999962,-26.39999962,6.500000381,0,0,-128,-119,-59.5,0,0,1.700000048,17.77999995,-1.700000048,3360.333333,201.62,50,92,46,-1,1,6.166666508,-1,1,22,91,45.5,0,0,404.0273438,405.4134521,405.6873067,26.37287839,34.50813293,36.67417908,15412.67546,15.41267546,50.01678212,0.675512433,0,0,0,0,0,-107,-107,0,0,27.03333346,27.03333346,1622.333333,97.34,3392.666667,203.56,406.3999939,407.0666707,407.2666626,56.36666616,60.63333257,60.90000025,32.86666616,0.786666671,0,-3,0,0.016666667,24817.76628,9315.299805,0.762547533,76.25475327,50.01534526,15.06760311,16.30528704,17.17938995,2586.307454,2.586307454,2906.372477,2.906372477,3180.577962,3.180577962,8661.117188,8.661117188,2188.076253,2.188076253,404.4075216,405.756958,405.6825256,233.7543691,-1,1,58,3.48,29.71884664,26,114.96
2019-05-29 01:30:00,1914,-0.100000001,3369,202.14,316.98,196,1.96,44.14414414,1655.64,5.5188,0.889999986,0.889999986,26.39999962,-26.39999962,6.500000381,0,0,-128,-119,-59.5,0,0,1.700000048,17.77999995,-1.700000048,3369,202.14,50,92,46,-1,1,6.133333206,-1,1,22,91,45.5,0,0,404.1416016,405.6031799,405.7425028,26.24007034,34.5328509,36.68584951,15435.39193,15.43539193,50.01467641,0.676976105,0,0,0,0,0,-107,-107,0,0,26.86666616,26.86666616,1514.333333,90.86,3388,203.28,406.9666646,407.6000061,407.7666626,55.80000051,60.19999949,61.19999822,32.90000025,0.790000021,0,-3,0,0.016666667,24818.0332,9315.299805,0.762682498,76.26824975,50.0113004,15.68503634,16.90753237,16.65423902,2729.918538,2.729918538,3040.390137,3.040390137,3019.114746,3.019114746,8789.423177,8.789423177,2052.246501,2.052246501,404.2690125,405.75354,405.8035889,233.7705739,-1,1,60,3.6,29.58140437,26,114.84
2019-05-29 01:45:00,1917.666667,-0.100000001,3370,202.2,317.26,201,2.01,45.27027027,1712.34,5.7078,0.876666665,0.876666665,26.39999962,-26.39999962,6.500000381,0,0,-128,-119,-59.5,0,0,1.700000048,17.77999995,-1.700000048,3370,202.2,50,92,46,-1,1,6.133333365,-1,1,22,91,45.5,0,0,405.2549642,407.063151,407.0571594,26.03620529,34.31873703,36.53008016,15463.37467,15.46337467,49.99577459,0.680033763,0,0,0,0,0,-107,-107,0,0,27.16666667,27.16666667,1570,94.2,3385.333333,203.12,408.4000041,409.0666606,409.3333333,55.06666565,59.4666659,59.69999949,32.33333333,0.786666671,0,-3,0,0.016666667,24818.26628,9315.299805,0.760298431,76.02984309,49.99670029,15.22184563,16.5141805,16.29252243,2656.450195,2.656450195,2952.647949,2.952647949,2958.25765,2.95825765,8564.027018,8.564027018,1968.728597,1.968728597,405.555481,407.196991,406.9550171,234.3940633,-1,1,60,3.6,29.45722389,26,115.06
2019-05-29 02:00:00,1854.333333,-0.100000001,3366.666667,202,313.26,205.6666667,2.056666667,46.32132132,1765.26,5.8842,0.883333325,0.883333325,26.39999962,-26.39999962,6.500000381,0,0,-128,-119,-59.5,0,0,1.700000048,17.77999995,-1.700000048,3366.666667,202,50,92,46,-1,1,6.166666508,-1,1,22,90.66666667,45.33333333,0,0,404.5869446,406.5421143,406.4402974,26.11326917,34.50597509,36.60666529,15489.77116,15.48977116,49.97451274,0.679787536,0,0,0,0,0,-107,-107,0,0,27.13333321,27.13333321,1612.333333,96.74,3368.333333,202.1,407.0333354,407.9000041,407.9666748,55.1666654,60.43333308,60.36666616,32.56666692,0.790000021,0,-3,0,0.016666667,24818.5332,9315.299805,0.775094728,77.50947277,49.97023392,15.70702012,17.1143233,18.01423836,2749.354574,2.749354574,3088.050863,3.088050863,3396.138835,3.396138835,9215.193034,9.215193034,2298.986979,2.298986979,405.0566508,406.5656535,406.5774129,234.2169444,-1,1,54,3.24,28.96532631,26,111.26
2019-05-29 02:15:00,1715,-0.100000001,3352,201.12,304.02,210,2.1,47.2972973,1814.4,6.048,0.866666675,0.866666675,26.39999962,-26.39999962,6.500000381,0,0,-128,-119,-59.5,0,0,1.700000048,17.77999995,-1.700000048,3352,201.12,50,92,46,-1,1,6.033333302,-1,1,22.33333333,90.33333333,45.16666667,0,0,404.4118958,406.5070597,406.1410319,26.06296031,34.70127106,36.46694438,15523.31315,15.52331315,49.99596532,0.681493739,0,0,0,0,0,-107,-107,0,0,26.86666679,26.86666679,1732.333333,103.94,3404.666667,204.28,407.0333354,407.799998,407.9000041,56.1666654,61.30000051,61.73333232,33.36666616,0.793333352,0,-3,0,0.016666667,24818.76628,9315.299805,0.756841063,75.68410635,49.99656296,14.87478638,16.71181297,16.24517504,2551.454997,2.551454997,2983.441732,2.983441732,2942.383708,2.942383708,8496.601237,8.496601237,1982.617757,1.982617757,404.7336833,406.6605835,406.2603658,233.9367981,-1,1,48,2.88,27.9839414,26,102.9
